date_time_UTC,latitude_deg,longitude_deg,depth_km,magnitude_value,magnitude_type,region
"2025-10-13 22:06:30
10 hr 30 min ago",39.500,142.000,20,4.2,M,"NEAR EAST COAST OF HONSHU, JAPAN"
"2025-10-13 17:33:30
15 hr 03 min ago",35.800,137.300,10,3.4,M,"EASTERN HONSHU, JAPAN"
"2025-10-13 15:59:30
16 hr 37 min ago",42.200,141.900,40,3.0,M,"HOKKAIDO, JAPAN REGION"
"2025-10-13 10:25:30
22 hr 11 min ago",37.500,137.400,10,3.0,M,"NEAR WEST COAST OF HONSHU, JAPAN"
2025-10-13 03:25:43,38.638,142.477,33,4.7,mb,"NEAR EAST COAST OF HONSHU, JAPAN"
2025-10-12 03:34:30,42.300,143.000,60,3.6,M,"HOKKAIDO, JAPAN REGION"
2025-10-11 19:25:30,36.900,136.300,10,3.6,M,"NEAR WEST COAST OF HONSHU, JAPAN"
2025-10-11 14:24:30,27.300,127.700,90,4.3,mb,"RYUKYU ISLANDS, JAPAN"
2025-10-11 03:30:30,36.600,141.000,50,3.6,M,"NEAR EAST COAST OF HONSHU, JAPAN"
2025-10-11 03:22:01,30.369,138.511,437,4.8,mb,"IZU ISLANDS, JAPAN REGION"
2025-10-10 22:06:35,41.887,142.490,35,4.3,mb,"HOKKAIDO, JAPAN REGION"
2025-10-10 21:39:30,37.200,141.000,100,3.6,M,"NEAR EAST COAST OF HONSHU, JAPAN"
2025-10-10 12:25:30,38.000,141.800,60,4.0,M,"NEAR EAST COAST OF HONSHU, JAPAN"
2025-10-08 21:51:30,34.900,136.800,10,3.3,M,"WESTERN HONSHU, JAPAN"
2025-10-08 07:09:30,42.100,140.400,0,3.0,M,"HOKKAIDO, JAPAN REGION"
2025-10-08 06:29:30,35.000,134.100,10,3.0,M,"WESTERN HONSHU, JAPAN"
2025-10-08 02:49:39,36.280,127.760,9,3.1,M,SOUTH KOREA
2025-10-07 21:38:39,29.314,129.194,15,5.3,Mw,"RYUKYU ISLANDS, JAPAN"
2025-10-07 17:02:30,29.300,129.100,10,3.9,M,"RYUKYU ISLANDS, JAPAN"
2025-10-07 04:53:30,29.400,129.300,10,3.0,M,"RYUKYU ISLANDS, JAPAN"
2025-10-07 01:42:51,37.758,144.137,6,4.6,mb,"OFF EAST COAST OF HONSHU, JAPAN"
2025-10-07 01:17:16,37.760,144.109,7,4.7,mb,"OFF EAST COAST OF HONSHU, JAPAN"
2025-10-07 00:30:24,37.559,141.331,56,5.1,Mw,"NEAR EAST COAST OF HONSHU, JAPAN"
2025-10-06 20:02:43,27.264,140.256,444,4.1,mb,"BONIN ISLANDS, JAPAN REGION"
2025-10-06 18:25:05,37.792,144.214,10,4.7,mb,"OFF EAST COAST OF HONSHU, JAPAN"
2025-10-06 14:58:00,37.719,144.134,10,4.9,mb,"OFF EAST COAST OF HONSHU, JAPAN"
2025-10-06 14:20:25,37.752,144.161,10,4.8,mb,"OFF EAST COAST OF HONSHU, JAPAN"
2025-10-06 02:31:30,39.800,141.800,60,3.8,M,"EASTERN HONSHU, JAPAN"
2025-10-05 22:44:30,29.400,129.600,0,3.2,M,"RYUKYU ISLANDS, JAPAN"
2025-10-05 15:35:30,43.000,144.700,110,4.0,M,"HOKKAIDO, JAPAN REGION"
2025-10-05 10:58:30,34.900,136.800,20,3.2,M,"WESTERN HONSHU, JAPAN"
