date_time_UTC,Month,latitude_deg,longitude_deg,dist_to_Tokyo_km,depth_km,magnitude_value,magnitude_type,Category,place,region,data_source
2025-10-14 23:29:09,October,30.377,138.368,601.25,434.0,4.5,mb,moderate,"IZU ISLANDS, JAPAN REGION",IZU ISLANDS,EMSC
2025-10-14 14:23:30,October,29.4,129.5,1178.84,20.0,3.2,M,weak,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-10-14 12:34:30,October,24.7,125.3,1837.85,50.0,3.5,M,weak,"SOUTHWESTERN RYUKYU ISL., JAPAN",SOUTHWESTERN RYUKYU ISL.,EMSC
2025-10-14 03:34:23,October,39.647,139.397,442.07,10.0,4.6,mb,moderate,"NEAR WEST COAST OF HONSHU, JAPAN",NEAR WEST COAST OF HONSHU,EMSC
2025-10-13 22:06:30,October,39.5,142.0,472.86,20.0,4.2,M,moderate,"NEAR EAST COAST OF HONSHU, JAPAN",NEAR EAST COAST OF HONSHU,EMSC
2025-10-13 17:33:30,October,35.8,137.3,212.54,10.0,3.4,M,weak,"EASTERN HONSHU, JAPAN",EASTERN HONSHU,EMSC
2025-10-13 15:59:30,October,42.2,141.9,750.96,40.0,3.0,M,weak,"HOKKAIDO, JAPAN REGION",HOKKAIDO,EMSC
2025-10-13 10:25:30,October,37.5,137.4,285.42,10.0,3.0,M,weak,"NEAR WEST COAST OF HONSHU, JAPAN",NEAR WEST COAST OF HONSHU,EMSC
2025-10-13 03:25:43,October,38.638,142.477,413.73,33.0,4.7,mb,moderate,"NEAR EAST COAST OF HONSHU, JAPAN",NEAR EAST COAST OF HONSHU,EMSC
2025-10-12 03:34:30,October,42.3,143.0,791.2,60.0,3.6,M,weak,"HOKKAIDO, JAPAN REGION",HOKKAIDO,EMSC
2025-10-11 19:25:30,October,36.9,136.3,329.62,10.0,3.6,M,weak,"NEAR WEST COAST OF HONSHU, JAPAN",NEAR WEST COAST OF HONSHU,EMSC
2025-10-11 14:24:30,October,27.3,127.7,1464.7,90.0,4.3,mb,moderate,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-10-11 03:30:30,October,36.6,141.0,158.88,50.0,3.6,M,weak,"NEAR EAST COAST OF HONSHU, JAPAN",NEAR EAST COAST OF HONSHU,EMSC
2025-10-11 03:22:01,October,30.369,138.511,599.62,437.0,4.8,mb,moderate,"IZU ISLANDS, JAPAN REGION",IZU ISLANDS,EMSC
2025-10-10 22:06:35,October,41.887,142.49,733.03,35.0,4.3,mb,moderate,"HOKKAIDO, JAPAN REGION",HOKKAIDO,EMSC
2025-10-10 21:39:30,October,37.2,141.0,208.05,100.0,3.6,M,weak,"NEAR EAST COAST OF HONSHU, JAPAN",NEAR EAST COAST OF HONSHU,EMSC
2025-10-10 12:25:30,October,38.0,141.8,321.48,60.0,4.0,M,moderate,"NEAR EAST COAST OF HONSHU, JAPAN",NEAR EAST COAST OF HONSHU,EMSC
2025-10-08 21:51:30,October,34.9,136.8,272.69,10.0,3.3,M,weak,"WESTERN HONSHU, JAPAN",WESTERN HONSHU,EMSC
2025-10-08 07:09:30,October,42.1,140.4,717.21,0.0,3.0,M,weak,"HOKKAIDO, JAPAN REGION",HOKKAIDO,EMSC
2025-10-08 06:29:30,October,35.0,134.1,508.94,10.0,3.0,M,weak,"WESTERN HONSHU, JAPAN",WESTERN HONSHU,EMSC
2025-10-07 21:38:39,October,29.314,129.194,1207.96,15.0,5.3,Mw,moderate,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-10-07 17:02:30,October,29.3,129.1,1216.07,10.0,3.9,M,weak,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-10-07 04:53:30,October,29.4,129.3,1193.97,10.0,3.0,M,weak,"RYUKYU ISLANDS, JAPAN",RYUKYU ISLANDS,EMSC
2025-10-07 01:42:51,October,37.758,144.137,462.01,6.0,4.6,mb,moderate,"OFF EAST COAST OF HONSHU, JAPAN",OFF EAST COAST OF HONSHU,EMSC
2025-10-07 01:17:16,October,37.76,144.109,459.96,7.0,4.7,mb,moderate,"OFF EAST COAST OF HONSHU, JAPAN",OFF EAST COAST OF HONSHU,EMSC
2025-10-07 00:30:24,October,37.559,141.331,257.53,56.0,5.1,Mw,moderate,"NEAR EAST COAST OF HONSHU, JAPAN",NEAR EAST COAST OF HONSHU,EMSC
