Magnitude,Region,DateTime_UTC,Depth_km,Latitude,Longitude,Event_ID
4.6,"Southeast of Honshu, Japan",2025-10-14 23:29:10,442,30.41,138.27,gfz2025ueij
4.8,"Near West Coast of Honshu, Japan",2025-10-14 03:34:24,10,39.66,139.42,gfz2025ucuy
4.7,"Near East Coast of Honshu, Japan",2025-10-13 03:25:47,63,38.66,142.42,gfz2025uaze
4.8,"Ryukyu Islands, Japan",2025-10-11 14:24:22,86,27.17,127.7,gfz2025tydw
4.8,"Southeast of Honshu, Japan",2025-10-11 03:22:02,445,30.39,138.44,gfz2025txia
5.3,"Ryukyu Islands, Japan",2025-10-07 21:38:38,10,29.34,129.1,gfz2025trkf
4.8,"Off East Coast of Honshu, Japan",2025-10-07 01:17:17,10,37.77,144.19,gfz2025tpvx
5.1,"Near East Coast of Honshu, Japan",2025-10-07 00:30:25,53,37.58,141.27,gfz2025tpuj
4.5,"Bonin Islands, Japan Region",2025-10-06 20:02:44,461,27.19,140.39,gfz2025tpln
4.7,"Off East Coast of Honshu, Japan",2025-10-06 18:25:05,10,37.69,144.21,gfz2025tpii
5.0,"Off East Coast of Honshu, Japan",2025-10-06 14:58:00,10,37.7,144.16,gfz2025tpbm
4.9,"Off East Coast of Honshu, Japan",2025-10-06 14:20:25,10,37.7,144.19,gfz2025tpag
4.7,"Near East Coast of Honshu, Japan",2025-10-03 03:48:03,103,35.51,140.04,gfz2025tisw
4.8,"Near East Coast of Honshu, Japan",2025-10-04 14:15:19,41,39.71,142.16,gfz2025tljb
4.8,"Near East Coast of Honshu, Japan",2025-10-01 14:50:06,60,38.76,141.98,gfz2025tfxs
4.6,"Off East Coast of Honshu, Japan",2025-10-01 17:40:51,10,37.81,144.12,gfz2025tgdi
4.7,"Off East Coast of Honshu, Japan",2025-09-28 01:36:38,10,37.7,144.17,gfz2025szla
4.8,"Southwestern Ryukyu Islands, Japan",2025-09-28 21:23:51,58,24.34,123.31,gfz2025taye
4.2,"Near East Coast of Honshu, Japan",2025-09-24 18:03:16,54,38.92,142.14,gfz2025stjo
4.8,"Off East Coast of Honshu, Japan",2025-09-27 13:37:19,10,37.79,144.14,gfz2025synh
4.9,"Ryukyu Islands, Japan",2025-09-20 04:46:35,10,24.11,126.12,gfz2025slbg
4.8,"Ryukyu Islands, Japan",2025-09-23 17:08:13,133,28.89,128.73,gfz2025srmg
5.0,"Ryukyu Islands, Japan",2025-09-17 12:55:07,33,29.6,129.71,gfz2025sgew
4.6,"Ryukyu Islands, Japan",2025-09-17 13:00:34,52,29.42,129.93,gfz2025sgfb
4.8,"Near East Coast of Honshu, Japan",2025-09-15 04:34:46,50,38.41,142.11,gfz2025sbxj
