depth_zone,magnitude
Shallow (0–70 km),4.6
Shallow (0–70 km),4.7
Shallow (0–70 km),4.3
Shallow (0–70 km),5.3
Shallow (0–70 km),4.6
Shallow (0–70 km),4.7
Shallow (0–70 km),5.1
Shallow (0–70 km),4.7
Shallow (0–70 km),4.9
Shallow (0–70 km),4.8
Shallow (0–70 km),5.9
Shallow (0–70 km),4.5
Shallow (0–70 km),4.5
Shallow (0–70 km),4.5
Shallow (0–70 km),4.6
Shallow (0–70 km),4.5
Shallow (0–70 km),4.5
Shallow (0–70 km),4.8
Shallow (0–70 km),4.6
Shallow (0–70 km),4.6
Shallow (0–70 km),4.6
Shallow (0–70 km),4.6
Shallow (0–70 km),4.5
Shallow (0–70 km),4.4
Shallow (0–70 km),4.8
Shallow (0–70 km),4.6
Shallow (0–70 km),4.5
Shallow (0–70 km),4.9
Shallow (0–70 km),4.9
Shallow (0–70 km),4.6
Shallow (0–70 km),4.4
Shallow (0–70 km),4.4
Shallow (0–70 km),4.2
Shallow (0–70 km),4.4
Shallow (0–70 km),4.8
Shallow (0–70 km),4.7
Shallow (0–70 km),5.3
Shallow (0–70 km),4.8
Shallow (0–70 km),5.1
Shallow (0–70 km),4.7
Shallow (0–70 km),5.0
Shallow (0–70 km),4.9
Shallow (0–70 km),4.8
Shallow (0–70 km),4.8
Shallow (0–70 km),4.6
Shallow (0–70 km),4.7
Shallow (0–70 km),4.8
Shallow (0–70 km),4.2
Shallow (0–70 km),4.8
Shallow (0–70 km),4.9
Shallow (0–70 km),5.0
Shallow (0–70 km),4.6
Shallow (0–70 km),4.8
Shallow (0–70 km),3.4
Shallow (0–70 km),3.3
Shallow (0–70 km),4.1
Shallow (0–70 km),3.2
Shallow (0–70 km),3.5
Shallow (0–70 km),4.6
Shallow (0–70 km),4.2
Shallow (0–70 km),3.4
Shallow (0–70 km),3.0
Shallow (0–70 km),3.0
Shallow (0–70 km),4.7
Shallow (0–70 km),3.6
Shallow (0–70 km),3.6
Shallow (0–70 km),3.6
Shallow (0–70 km),4.3
Shallow (0–70 km),4.0
Shallow (0–70 km),3.3
Shallow (0–70 km),3.0
Shallow (0–70 km),3.0
Shallow (0–70 km),5.3
Shallow (0–70 km),3.9
Shallow (0–70 km),3.0
Shallow (0–70 km),4.6
Shallow (0–70 km),4.7
Shallow (0–70 km),5.1
Shallow (0–70 km),4.7
Shallow (0–70 km),4.9
Shallow (0–70 km),4.8
Shallow (0–70 km),3.8
Shallow (0–70 km),3.2
Shallow (0–70 km),3.2
Shallow (0–70 km),3.4
Shallow (0–70 km),6.0
Shallow (0–70 km),4.5
Shallow (0–70 km),3.2
Shallow (0–70 km),3.2
Shallow (0–70 km),4.4
Shallow (0–70 km),4.3
Shallow (0–70 km),3.0
Shallow (0–70 km),3.5
Shallow (0–70 km),3.0
Shallow (0–70 km),4.5
Shallow (0–70 km),4.5
Shallow (0–70 km),4.8
Shallow (0–70 km),4.6
Shallow (0–70 km),4.0
Shallow (0–70 km),3.6
Shallow (0–70 km),4.5
Shallow (0–70 km),3.4
Shallow (0–70 km),3.2
Shallow (0–70 km),3.7
Shallow (0–70 km),3.0
Shallow (0–70 km),4.5
Shallow (0–70 km),4.8
Shallow (0–70 km),4.6
Shallow (0–70 km),3.0
Shallow (0–70 km),3.9
Shallow (0–70 km),4.6
Shallow (0–70 km),4.6
Shallow (0–70 km),4.6
Shallow (0–70 km),3.8
Shallow (0–70 km),4.5
Shallow (0–70 km),3.8
