lat,lon,quake_count
29.6,129.7,14
29.6,129.8,8
37.8,144.2,8
37.8,144.1,6
37.7,144.2,5
38.0,143.9,4
35.7,139.7,3
27.3,140.3,3
32.0,131.9,3
37.6,141.3,3
43.1,141.4,2
34.7,135.5,2
35.4,139.6,2
26.2,127.7,2
35.2,136.9,2
35.7,139.8,2
29.4,129.5,2
36.9,141.6,2
34.5,139.5,2
29.6,129.6,2
39.8,141.8,2
28.0,139.7,2
36.2,140.8,2
36.2,141.0,2
28.1,139.5,2
24.1,126.3,2
36.6,141.0,2
36.4,142.6,2
38.9,142.1,2
24.4,123.3,2
33.5,142.4,2
35.5,139.9,2
34.9,136.8,2
37.7,144.1,2
29.3,129.1,2
30.4,138.4,2
39.7,142.2,2
30.4,138.3,2
38.3,142.4,1
33.6,130.4,1
37.8,140.5,1
33.9,132.8,1
39.7,141.2,1
40.8,140.7,1
35.4,138.5,1
34.4,132.5,1
35.0,135.8,1
32.8,129.9,1
37.2,138.8,1
36.6,136.7,1
34.1,131.5,1
31.6,130.6,1
38.3,140.9,1
34.2,134.0,1
33.2,131.6,1
35.4,135.5,1
38.4,142.0,1
37.6,139.0,1
35.9,140.8,1
39.4,143.4,1
31.5,131.9,1
34.6,139.4,1
29.5,129.6,1
29.7,129.6,1
35.5,139.6,1
35.5,141.0,1
29.6,129.9,1
29.8,130.0,1
33.9,132.3,1
31.3,129.9,1
40.1,141.9,1
36.3,138.0,1
36.5,140.7,1
28.8,128.7,1
31.0,140.0,1
35.0,140.0,1
32.8,130.6,1
37.7,144.3,1
35.5,137.4,1
41.4,142.2,1
36.6,140.9,1
31.4,138.6,1
37.8,137.4,1
37.8,141.7,1
38.7,142.0,1
28.5,139.6,1
39.9,140.9,1
33.7,132.5,1
34.9,140.2,1
37.3,141.3,1
38.3,141.7,1
39.7,142.1,1
39.8,142.2,1
37.4,141.5,1
29.5,129.5,1
42.5,141.9,1
43.0,144.7,1
29.4,129.6,1
29.4,129.3,1
29.3,129.2,1
35.0,134.1,1
42.1,140.4,1
38.0,141.8,1
37.2,141.0,1
41.9,142.5,1
30.4,138.5,1
27.3,127.7,1
36.9,136.3,1
42.3,143.0,1
38.6,142.5,1
37.5,137.4,1
42.2,141.9,1
35.8,137.3,1
39.5,142.0,1
39.6,139.4,1
24.7,125.3,1
38.4,142.1,1
29.4,129.9,1
24.1,126.1,1
28.9,128.7,1
24.3,123.3,1
38.8,142.0,1
35.5,140.0,1
27.2,140.4,1
27.2,127.7,1
38.7,142.4,1
39.7,139.4,1
38.5,142.0,1
37.7,138.8,1
39.5,143.3,1
35.4,141.1,1
25.4,141.1,1
40.3,141.9,1
28.8,128.6,1
39.0,142.1,1
31.0,140.1,1
37.9,144.0,1
38.7,141.9,1
28.4,139.6,1
37.4,141.6,1
37.8,144.0,1
37.9,144.1,1
27.2,140.3,1
29.2,129.4,1
41.7,142.7,1
30.3,138.5,1
38.6,142.6,1
39.6,139.5,1
29.8,139.1,1
